,employer,min_pos_salary,max_pos_salary,overtime_pay,lump_sum_pay,other_pay,retirement_cost_covered,health_benefits,Month,year
1614,8,51984.0,203568.0,0.0,0.0,9700.8,0.0,17233.97,11,1955
1615,3,44712.0,157800.0,0.0,0.0,258.0,0.0,17631.72,9,1964
1616,8,49512.0,66192.0,0.0,0.0,0.0,0.0,2033.42,10,1976
1617,9,49512.0,66192.0,0.0,0.0,5292.0,0.0,0.0,5,1960
1618,2,67656.0,143952.0,0.0,0.0,0.0,0.0,17631.72,1,1985
1619,0,50148.0,71304.0,0.0,0.0,1040.08,0.0,23270.64,9,1971
1620,9,22879.56,38749.56,0.0,0.0,4988.5,0.0,0.0,11,1974
1621,16,49512.0,66192.0,0.0,5739.02,2091.09,0.0,12842.13,2,1981
1622,20,22879.56,291194.4,0.0,0.0,0.0,0.0,0.0,3,1959
1623,6,22879.56,38749.56,0.0,0.0,1430.0,0.0,0.0,8,1970
1624,18,22879.56,38749.56,0.0,0.0,5183.4,0.0,0.0,6,1979
1625,19,22879.56,38749.56,0.0,0.0,5904.0,0.0,0.0,11,1975
1626,2,54648.0,77856.0,0.0,0.0,1023.79,0.0,9084.24,5,1972
1627,2,22879.56,38749.56,0.0,0.0,5300.9,0.0,0.0,8,1953
1628,10,22879.56,38749.56,0.0,0.0,1442.0,0.0,0.0,8,1970
1629,7,22879.56,38749.56,0.0,0.0,2624.97,0.0,0.0,5,1961
1630,20,37380.0,65700.0,0.0,0.0,650.0,0.0,9237.72,2,1959
1631,15,22879.56,38749.56,0.0,0.0,2148.0,0.0,0.0,12,1955
1632,20,28152.0,66204.0,0.0,0.0,0.0,0.0,0.0,4,1964
1633,6,22879.56,38749.56,0.0,0.0,1282.5,0.0,0.0,6,1987
1634,20,28152.0,66204.0,0.0,263.59,0.0,0.0,0.0,6,1983
1635,22,22879.56,38749.56,0.0,0.0,8234.98,0.0,0.0,3,1961
1636,5,22879.56,38749.56,0.0,0.0,3150.75,0.0,0.0,4,1952
1637,15,49512.0,66192.0,0.0,0.0,0.0,0.0,0.0,5,1964
1638,12,22879.56,38749.56,0.0,0.0,6591.73,0.0,0.0,4,1987
1639,17,22879.56,38749.56,0.0,0.0,2116.4,0.0,0.0,3,1953
1640,5,56472.0,75924.0,0.0,0.0,0.0,0.0,9329.16,7,1952
1641,6,28080.0,52920.0,0.0,0.0,0.0,0.0,0.0,7,1958
1642,18,39456.0,73944.0,0.0,0.0,865.18,0.0,23270.64,4,1987
1643,7,54648.0,77856.0,0.0,0.0,1023.79,0.0,22710.84,9,1974
1644,6,59076.0,131088.0,0.0,0.0,0.0,0.0,2628.84,12,1961
1645,15,49512.0,66192.0,0.0,0.0,0.0,0.0,6928.29,9,1950
1646,12,31872.0,55992.0,0.0,0.0,1037.0,0.0,8998.68,1,1954
1647,13,22879.56,38749.56,0.0,0.0,6274.26,0.0,0.0,9,1979
1648,8,22879.56,38749.56,0.0,0.0,1523.5,0.0,0.0,6,1951
1649,5,22879.56,38749.56,0.0,0.0,6421.11,0.0,0.0,1,1972
1650,4,44712.0,157800.0,0.0,0.0,258.0,0.0,18602.64,7,1986
1651,3,22879.56,38749.56,0.0,0.0,5851.5,0.0,0.0,8,1961
1652,8,85188.0,150792.0,0.0,0.0,21436.1,0.0,17109.6,1,1965
1653,19,22879.56,38749.56,0.0,0.0,1221.0,0.0,0.0,5,1969
1654,0,34152.0,59976.0,0.0,0.0,650.0,0.0,17631.72,5,1981
1655,3,56316.0,98904.0,0.0,0.0,650.0,0.0,9237.72,4,1956
1656,19,22879.56,38749.56,0.0,0.0,100.0,0.0,0.0,8,1961
1657,9,59076.0,131088.0,0.0,0.0,634.26,0.0,0.0,3,1980
1658,5,22879.56,38749.56,0.0,0.0,973.5,0.0,0.0,5,1952
1659,23,67656.0,143952.0,0.0,0.0,24249.1,0.0,23270.64,10,1961
1660,15,22879.56,38749.56,0.0,0.0,3373.5,0.0,0.0,4,1989
1661,5,22879.56,38749.56,0.0,0.0,0.0,0.0,0.0,9,1985
1662,14,85188.0,150792.0,0.0,0.0,35085.96,0.0,19994.64,8,1976
1663,20,54648.0,77856.0,0.0,0.0,1023.79,0.0,9237.72,10,1953
1664,10,22879.56,38749.56,0.0,0.0,2265.5,0.0,0.0,11,1969
1665,1,28152.0,66204.0,0.0,0.0,0.0,0.0,0.0,5,1962
1666,10,22879.56,38749.56,0.0,0.0,6816.5,0.0,0.0,5,1956
1667,5,66408.0,85752.0,0.0,58.4,0.0,0.0,0.0,1,1970
1668,1,22879.56,38749.56,0.0,0.0,35.2,0.0,0.0,1,1982
1669,5,22879.56,38749.56,0.0,0.0,3805.45,0.0,0.0,6,1956
1670,20,22879.56,38749.56,0.0,0.0,0.0,0.0,0.0,1,1973
1671,22,22879.56,38749.56,0.0,0.0,559.2,0.0,0.0,2,1979
1672,0,41640.0,77832.0,0.0,0.0,0.0,0.0,0.0,8,1968
1673,5,59076.0,131088.0,0.0,0.0,0.0,0.0,89.64,2,1973
1674,7,49512.0,311340.0,0.0,0.0,12222.1,0.0,20451.18,5,1957
1675,10,132.0,2880.0,0.0,0.0,1530.0,0.0,0.0,5,1977
1676,23,22879.56,38749.56,0.0,0.0,75.0,0.0,0.0,7,1958
1677,12,39456.0,73944.0,0.0,0.0,650.0,0.0,17109.6,11,1964
1678,6,30024.0,108996.0,0.0,0.0,90.0,0.0,16978.68,6,1987
1679,16,22879.56,38749.56,0.0,0.0,0.0,0.0,0.0,5,1982
1680,9,49512.0,66192.0,0.0,0.0,13540.2,0.0,23270.64,1,1954
1681,16,59076.0,131088.0,0.0,0.0,0.0,0.0,19050.79,5,1978
1682,8,85188.0,150792.0,0.0,0.0,16903.8,0.0,17631.72,4,1968
1683,14,56184.0,86820.0,45801.75,0.0,6749.1,0.0,9147.96,4,1978
1684,6,59076.0,131088.0,0.0,0.0,0.0,0.0,162.41,3,1973
1685,20,31200.0,52440.0,1449.06,0.0,1861.88,0.0,23270.64,8,1963
1686,18,32556.0,59856.0,10640.96,0.0,2787.5,0.0,9237.72,12,1978
1687,15,22879.56,38749.56,0.0,0.0,0.0,0.0,0.0,1,1987
1688,8,28079.4,41432.76,0.0,0.0,4087.4,0.0,0.0,2,1967
1689,15,59076.0,131088.0,0.0,0.0,4328.72,0.0,17631.72,7,1977
1690,20,22879.56,38749.56,0.0,0.0,480.0,0.0,0.0,7,1970
1691,19,22879.56,38749.56,0.0,0.0,4063.2,0.0,0.0,8,1981
1692,15,46764.0,82152.0,0.0,0.0,650.0,0.0,17109.6,6,1956
1693,2,49512.0,66192.0,0.0,0.0,1636.8,0.0,22015.08,12,1951
1694,18,59076.0,131088.0,0.0,0.0,0.0,0.0,0.0,7,1957
1695,19,22879.56,38749.56,0.0,0.0,96.0,0.0,0.0,12,1960
1696,22,28079.4,41432.76,0.0,0.0,0.0,0.0,0.0,11,1970
1697,19,37116.0,65196.0,348.21,0.0,650.0,0.0,17631.72,8,1967
